"Cayan Credit Card configuration. For more information on how to set all of the settings, please access the <a href=""https://help.cayan.com/"" target=""_blank"">Cayan Support Center</a>.","Cayan Credit Card configuration. For more information on how to set all of the settings, please access the <a href=""https://help.cayan.com/"" target=""_blank"">Cayan Support Center</a>."
"Merchant Name","Merchant Name"
"Merchant Site ID","Merchant Site ID"
"Merchant Key","Merchant Key"
"Web API Key","Web API Key"
"API URL","API URL"
"Payment Settings","Payment Settings"
"Enable Vault","Enable Vault"
"Enable this option to store credit cards and allow customers to checkout with one click.","Enable this option to store credit cards and allow customers to checkout with one click."
"Vault Title","Vault Title"
"Payment Action","Payment Action"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Developer Settings","Developer Settings"
Debug,Debug
"Enable this option to log all data received from Cayan to <code>cayan_debug.log</code>.","Enable this option to log all data received from Cayan to <code>cayan_debug.log</code>."
"Cayan Gift Card Cache","Cayan Gift Card Cache"
"Cayan Gift Card Cache.","Cayan Gift Card Cache."
"Gift Card","Gift Card"
"Select to enable PIN field on gift card form.","Select to enable PIN field on gift card form."
"PIN (if available)","PIN (if available)"
"Invalid gift card, please try again.","Invalid gift card, please try again."
"An error occurred while trying to add the gift card, please try again.","An error occurred while trying to add the gift card, please try again."
"An error occurred while validating the gift card, please try again.","An error occurred while validating the gift card, please try again."
